Messung,Soll,Ist,Abweichung in X,Abweichung in Y
1,0.74,0.739192323906,-0.000807676094496,-0.000600303385284
2,0.72,0.718211325296,-0.0017886747035,-0.00204198866499
3,0.7,0.699319521944,-0.000680478056479,-0.00380785988965
4,0.68,0.679293402785,-0.000706597214565,-0.0059846654702
5,0.66,0.660606996383,0.000606996382627,-0.0036418699681
6,0.64,0.638167084278,-0.00183291572183,-0.00242903162032
7,0.62,0.619611421337,-0.000388578663014,-0.00177941512906
8,0.6,0.601461667517,0.00146166751696,-0.000690015527236
9,0.58,0.579735020913,-0.000264979086718,0.00124032070312
10,0.56,0.560378058956,0.000378058955706,4.74262935106e-05
1,0.74,0.738759869276,-0.00124013072362,-0.000735454343203
2,0.72,0.720621275939,0.000621275938605,-0.00220733035
3,0.7,0.699938107388,-6.1892612498e-05,-0.0034148937984
4,0.68,0.677958636734,-0.00204136326647,-0.00462751655404
5,0.66,0.660222162274,0.000222162274479,-0.00350053632535
6,0.64,0.64044774842,0.000447748419868,-0.00263280848338
7,0.62,0.619069520248,-0.000930479752364,-0.00111142253215
8,0.6,0.601578010712,0.00157801071209,-0.00138412759059
9,0.58,0.580565543753,0.000565543753425,0.00161081301331
10,0.56,0.560283587652,0.000283587652085,0.000458607145449
1,0.74,0.739183559624,-0.000816440376413,-0.000443632709975
2,0.72,0.719672385611,-0.000327614388707,-0.00252902212531
3,0.7,0.699183799367,-0.000816200633383,-0.00395088083879
4,0.68,0.679319892215,-0.000680107784903,-0.00581259852658
5,0.66,0.659762129688,-0.000237870312388,-0.00369932228911
6,0.64,0.641129332379,0.00112933237906,-0.00400996387893
7,0.62,0.621050325598,0.00105032559847,-0.00131865416559
8,0.6,0.599357972871,-0.000642027129402,-0.000633977805476
9,0.58,0.579565692481,-0.000434307519297,0.000379172731733
10,0.56,0.56065584586,0.000655845859831,0.0010523525044
1,0.74,0.740329962005,0.000329962004875,-0.00165392211323
2,0.72,0.718887749337,-0.00111225066261,-0.00217039120475
3,0.7,0.697922020423,-0.00207797957748,-0.00234113963398
4,0.68,0.680636701416,0.000636701415635,-0.00441549181911
5,0.66,0.659773059799,-0.000226940201027,-0.00380924269242
6,0.64,0.639872282959,-0.000127717040719,-0.0029123906561
7,0.62,0.619450942427,-0.000549057572916,-0.00238703878236
8,0.6,0.60077524796,0.00077524795997,-0.000781374624606
9,0.58,0.580190494246,0.000190494246244,0.00136408756679
10,0.56,0.560237556241,0.000237556241022,0.00103119716807
1,0.74,0.739254387324,-0.000745612676069,2.08548343156e-06
2,0.72,0.719701796209,-0.000298203790881,-0.00229851717196
3,0.7,0.699808471822,-0.000191528178055,-0.00409725226643
4,0.68,0.679174900784,-0.000825099216035,-0.00535024247619
5,0.66,0.660388511917,0.000388511917056,-0.00311880066347
6,0.64,0.638296230043,-0.00170376995716,-0.00274307964573
7,0.62,0.620177649496,0.000177649495947,-0.00250092049851
8,0.6,0.599245409813,-0.000754590186565,-0.000742935743534
9,0.58,0.581123651583,0.00112365158272,0.000393897620007
10,0.56,0.560834315444,0.000834315444333,0.000763307028881
1,0.74,0.739043435805,-0.000956564195266,-0.0013616003106
2,0.72,0.71856792082,-0.00143207917972,-0.00171771656665
3,0.7,0.700848498574,0.000848498574374,-0.00270576091365
4,0.68,0.678282958325,-0.00171704167456,-0.00480862933486
5,0.66,0.660425587094,0.000425587094063,-0.00418419020923
6,0.64,0.640612281838,0.000612281838109,-0.00269745537038
7,0.62,0.619188694935,-0.000811305065221,-0.00141342594944
8,0.6,0.599497172969,-0.000502827030814,-0.000428196634803
9,0.58,0.580973260867,0.000973260867303,0.000511083437545
10,0.56,0.560916989069,0.000916989069237,0.00106095485144
1,0.74,0.739091920586,-0.000908079413675,-0.00110771898514
2,0.72,0.718414014036,-0.00158598596438,-0.000807304482629
3,0.7,0.699130578676,-0.000869421324084,-0.0028776202494
4,0.68,0.679943961813,-5.60381872333e-05,-0.00348966398047
5,0.66,0.659216607985,-0.000783392015263,-0.00281565162926
6,0.64,0.639856894247,-0.000143105752561,-0.0034203306222
7,0.62,0.620472413746,0.000472413746373,-0.00258434640265
8,0.6,0.601190686393,0.00119068639269,-0.00205362383327
9,0.58,0.580275154404,0.000275154403822,0.000311829802957
10,0.56,0.560549752138,0.000549752137743,0.00120863619844
1,0.74,0.739651604496,-0.000348395504473,-0.000387875917464
2,0.72,0.720198313638,0.000198313637829,-0.00260506401344
3,0.7,0.697946358844,-0.00205364115621,-0.00344511663187
4,0.68,0.679767773895,-0.000232226105351,-0.00303312749131
5,0.66,0.660193284846,0.000193284846462,-0.00332614909987
6,0.64,0.638956109473,-0.00104389052749,-0.0022883565925
7,0.62,0.620409542817,0.000409542816897,-0.00342401268176
8,0.6,0.601447509006,0.00144750900584,-0.00195511147012
9,0.58,0.581801267517,0.0018012675173,-0.000580094171269
10,0.56,0.560963204105,0.000963204104898,0.00127366656883
1,0.74,0.737863997565,-0.00213600243475,-0.00187721562092
2,0.72,0.719497887908,-0.000502112092415,-0.00158530576346
3,0.7,0.698057954154,-0.00194204584626,-0.00298379824211
4,0.68,0.678510471565,-0.00148952843544,-0.00219618535314
5,0.66,0.661676352368,0.00167635236803,-0.00315793565826
6,0.64,0.640195441035,0.000195441035232,-0.00384467699306
7,0.62,0.619755266914,-0.000244733086003,-0.00292051655866
8,0.6,0.600084711104,8.47111038399e-05,-0.00170867579789
9,0.58,0.577643290644,-0.00235670935554,0.000661351713262
10,0.56,0.559606969241,-0.000393030759406,-0.000531887951276
1,0.74,0.739991601382,-8.39861837043e-06,-0.00242541110575
2,0.72,0.720140996074,0.000140996074123,-0.00214310209772
3,0.7,0.699805062826,-0.000194937173795,-0.00355999237503
4,0.68,0.680359686535,0.00035968653548,-0.00468706082715
5,0.66,0.660156739815,0.000156739814775,-0.00288301614879
6,0.64,0.639858902259,-0.000141097741371,-0.00288033126062
7,0.62,0.620676041763,0.000676041762556,-0.00181438537971
8,0.6,0.601381948078,0.00138194807782,-0.000208877133336
9,0.58,0.579865725584,-0.000134274416434,0.0012802381222
10,0.56,0.558553270031,-0.00144672996894,0.000668895078184
