Messung,Soll,Ist,Abweichung in Y,Abweichung in X
1,0.38,0.384482104757,0.0044821047575,-0.00470593528382
2,0.36,0.365749798531,0.00574979853126,-0.00263785057124
3,0.34,0.345401883389,0.00540188338907,0.000827660758337
4,0.32,0.324843633869,0.00484363386873,-0.00133177061318
5,0.3,0.305662904266,0.00566290426593,1.59639714835e-05
6,0.28,0.285326882235,0.00532688223517,-0.00188874080407
7,0.26,0.265414003555,0.00541400355511,-0.0009651819161
8,0.24,0.246579731977,0.00657973197739,-0.000632255710163
9,0.22,0.225344583669,0.00534458366929,-0.00134260516128
10,0.2,0.205413392158,0.00541339215791,-0.000151519208218
1,0.38,0.386598381875,0.00659838187511,-0.00226194569135
2,0.36,0.366454578963,0.0064545789632,-0.00233505653759
3,0.34,0.345663980376,0.0056639803763,-0.000606956770765
4,0.32,0.325111488225,0.00511148822452,-0.00116146407105
5,0.3,0.304062828815,0.00406282881533,-0.0016430265315
6,0.28,0.284870454945,0.00487045494502,-0.000161467643762
7,0.26,0.264741490733,0.00474149073291,-5.23332570933e-05
8,0.24,0.243700681057,0.00370068105703,-0.000402380594466
9,0.22,0.223362285898,0.00336228589797,-0.00158201668788
10,0.2,0.202078603198,0.0020786031977,5.8813722561e-05
1,0.38,0.3852381669,0.00523816690007,-0.00402476741735
2,0.36,0.364840025511,0.00484002551067,-0.00281518541161
3,0.34,0.345418735938,0.00541873593789,-0.00201281060687
4,0.32,0.324134451119,0.00413445111897,-0.000220705953202
5,0.3,0.304953353764,0.00495335376394,-0.000437401279678
6,0.28,0.284467511871,0.00446751187127,-0.00141879458252
7,0.26,0.265023457287,0.00502345728652,-0.000970413635538
8,0.24,0.244351295566,0.00435129556607,9.55932297658e-05
9,0.22,0.224233020178,0.00423302017765,0.000367787290756
10,0.2,0.203104879974,0.00310487997365,0.00124492970918
1,0.38,0.385613861287,0.00561386128706,-0.00319326367288
2,0.36,0.364583928067,0.00458392806731,-0.00230838545225
3,0.34,0.345178914649,0.00517891464887,-0.00146481797018
4,0.32,0.325200682552,0.00520068255212,-0.0011569133129
5,0.3,0.305453970501,0.00545397050132,-0.00228238348275
6,0.28,0.285273966725,0.00527396672548,-0.000338244482721
7,0.26,0.264991990697,0.00499199069679,-0.00012732682064
8,0.24,0.243717201903,0.00371720190311,-0.000391815376207
9,0.22,0.2235334969,0.00353349690036,0.000424190466147
10,0.2,0.203271007077,0.0032710070766,0.000784625052433
1,0.38,0.385047866389,0.00504786638933,-0.00246299827387
2,0.36,0.364380202053,0.00438020205275,-0.00140968822634
3,0.34,0.346284573329,0.00628457332918,-0.000566169260611
4,0.32,0.325890882911,0.00589088291089,0.000221890449788
5,0.3,0.305064757126,0.0050647571264,-0.00112666575811
6,0.28,0.28452404644,0.00452404644004,-0.000787785075748
7,0.26,0.264951105518,0.00495110551825,-0.000890935667034
8,0.24,0.244653949488,0.00465394948812,-0.000871778853709
9,0.22,0.222928864166,0.00292886416614,-0.0005366318988
10,0.2,0.202930927573,0.00293092757252,-3.81431707541e-06
1,0.38,0.385879017619,0.00587901761911,-0.000829061253339
2,0.36,0.364758932226,0.00475893222638,-2.14570528873e-05
3,0.34,0.345296493336,0.00529649333554,0.000360444782566
4,0.32,0.32449909796,0.00449909796027,-0.00166246036084
5,0.3,0.304097479801,0.00409747980064,0.00112414407763
6,0.28,0.28434842781,0.00434842781031,6.33168923684e-05
7,0.26,0.265268219431,0.00526821943053,-0.00118319938329
8,0.24,0.244429481329,0.00442948132908,-0.00041502100862
9,0.22,0.223980998361,0.00398099836071,-0.00111642646496
10,0.2,0.20210017203,0.00210017203028,0.000474558326289
1,0.38,0.384935023746,0.00493502374639,-0.00287650771905
2,0.36,0.365034771187,0.00503477118672,-0.00257275562447
3,0.34,0.344109174636,0.00410917463575,-0.00209283966903
4,0.32,0.324685940828,0.00468594082845,-0.000378307512165
5,0.3,0.304082278043,0.00408227804326,-0.00142647616626
6,0.28,0.283858933087,0.00385893308658,0.000321676834846
7,0.26,0.264233203408,0.00423320340821,-0.000176109070525
8,0.24,0.243784583376,0.00378458337561,0.000446279318196
9,0.22,0.223518277745,0.00351827774458,-0.00146256765067
10,0.2,0.201719463707,0.00171946370687,0.000321520896448
1,0.38,0.385070043386,0.0050700433855,-0.00325442482635
2,0.36,0.365076793156,0.00507679315575,-0.00138785641753
3,0.34,0.344877582014,0.0048775820139,-0.000870559756277
4,0.32,0.323988174018,0.00398817401842,-0.000976476827332
5,0.3,0.304689011193,0.00468901119349,-0.0014736508073
6,0.28,0.284604240598,0.0046042405984,-0.000557085887207
7,0.26,0.263880496881,0.00388049688133,-0.000748988776264
8,0.24,0.245027416554,0.00502741655378,-0.00075938019718
9,0.22,0.223774287781,0.00377428778089,-0.00181925826389
10,0.2,0.202980776567,0.00298077656698,0.00128975784385
1,0.38,0.384337630272,0.00433763027221,-0.00245751271951
2,0.36,0.364426281301,0.00442628130081,-0.00158970751629
3,0.34,0.344715975983,0.00471597598264,-0.00158900905043
4,0.32,0.324162838549,0.00416283854904,-0.0015788830903
5,0.3,0.305449108966,0.00544910896568,-0.000104443583582
6,0.28,0.284513064213,0.00451306421338,0.000167824935035
7,0.26,0.264323428486,0.00432342848636,0.000148569296371
8,0.24,0.243627878619,0.00362787861941,0.000298895909437
9,0.22,0.223487019097,0.00348701909667,-0.000146017983003
10,0.2,0.203270538993,0.00327053899314,0.000967187797307
1,0.38,0.384713518946,0.00471351894634,-0.00236034418677
2,0.36,0.363839168456,0.00383916845583,-0.0020843327634
3,0.34,0.343945771184,0.00394577118351,-0.00120051121036
4,0.32,0.325202712625,0.00520271262475,-0.000992785972709
5,0.3,0.304496849206,0.00449684920567,-0.00122646411682
6,0.28,0.28549123843,0.00549123843044,0.00134637345701
7,0.26,0.265026191482,0.0050261914819,0.00129291988672
8,0.24,0.243461505855,0.0034615058552,0.000422147823977
9,0.22,0.224315642317,0.00431564231699,-0.00102763313599
10,0.2,0.203902751118,0.00390275111783,0.00124057676336
