Messung,Soll,Ist,Abweichung in X,Abweichung in Y
1,0.58,0.580028248609,2.82486087568e-05,-0.000831328644857
2,0.6,0.601633729834,0.00163372983444,0.000164250503252
3,0.62,0.619914182237,-8.58177630531e-05,7.94137395376e-05
4,0.64,0.640973125892,0.000973125891593,-0.000265933091724
5,0.66,0.659702596496,-0.000297403504292,-0.000679524098732
6,0.68,0.680505413926,0.000505413925876,-0.000490868004207
7,0.7,0.699711649947,-0.000288350053061,-0.000264445745054
8,0.72,0.720428018859,0.000428018858843,-0.00185669424909
9,0.74,0.740310582811,0.000310582811034,-0.00130516966762
10,0.76,0.760244331354,0.000244331353993,-0.00157794213239
1,0.58,0.578460515877,-0.00153948412323,-0.00167019079928
2,0.6,0.600375721454,0.000375721453677,-0.000673826413622
3,0.62,0.620329911779,0.000329911779016,-0.00167833730916
4,0.64,0.64035620958,0.000356209580168,-0.0013472641165
5,0.66,0.659833909905,-0.000166090095068,1.6444350828e-05
6,0.68,0.680382732467,0.00038273246701,0.000241867385023
7,0.7,0.699057097861,-0.000942902138518,-0.000882992090706
8,0.72,0.719677034795,-0.00032296520544,-0.000253346478128
9,0.74,0.741012070637,0.00101207063682,-0.000318147959401
10,0.76,0.760619098816,0.000619098815805,-0.000636731732171
1,0.58,0.580370128254,0.000370128254357,-0.00153132820984
2,0.6,0.59990243765,-9.75623501094e-05,-0.000823864854826
3,0.62,0.620417878423,0.000417878422962,-0.000646399789687
4,0.64,0.639707065542,-0.000292934458318,-0.000867848042461
5,0.66,0.659206737823,-0.000793262177164,-0.00154316166772
6,0.68,0.680187252537,0.000187252536957,-0.000155449689344
7,0.7,0.699540189817,-0.000459810183161,0.000109654239609
8,0.72,0.720820120684,0.000820120684409,-0.000625495511291
9,0.74,0.740893008477,0.000893008476674,0.000236481596328
10,0.76,0.760869371499,0.000869371498705,-0.000243011636229
1,0.58,0.579892020669,-0.00010797933051,-0.0024144517042
2,0.6,0.599939755146,-6.02448539284e-05,-0.000403529768192
3,0.62,0.62045988679,0.000459886789897,-0.000746638047746
4,0.64,0.640695309345,0.00069530934548,-0.000388122458093
5,0.66,0.659891020332,-0.000108979667693,-0.000507162970899
