Messung,Soll,Ist,Abweichung in X,Abweichung in Y
1,0.74,0.738904130769,-0.0010958692314,-0.00140743287307
2,0.72,0.718566040337,-0.00143395966347,-0.00227134850645
3,0.7,0.699821710887,-0.000178289112841,-0.00371848763319
4,0.68,0.680503792959,0.000503792958899,-0.0052038433885
5,0.66,0.660128444633,0.000128444633007,-0.00305085546133
6,0.64,0.639917048932,-8.29510681906e-05,-0.00276336965201
7,0.62,0.618836870828,-0.00116312917209,-0.00191562216413
8,0.6,0.599600026296,-0.000399973704215,-0.00036170501993
9,0.58,0.580208512079,0.000208512079046,0.000289786239221
10,0.56,0.559886675707,-0.000113324292583,-0.000246741735931
11,0.74,0.738026095503,-0.00197390449711,-0.000339274365568
12,0.72,0.71834572339,-0.00165427660975,-0.00145374178153
13,0.7,0.699745533505,-0.000254466495378,-0.00356473899357
14,0.68,0.677780309273,-0.00221969072667,-0.00435728835762
15,0.66,0.66114617414,0.00114617413959,-0.0041971730993
16,0.64,0.641045862693,0.00104586269259,-0.00302763015217
17,0.62,0.619788087252,-0.000211912748288,-0.00131939617116
18,0.6,0.599375201842,-0.000624798157755,-0.00188530563602
19,0.58,0.58050974307,0.000509743070184,0.000256923064538
20,0.56,0.561041043302,0.00104104330249,-3.60309081974e-05
21,0.74,0.739820232367,-0.000179767633391,0.000115067932327
22,0.72,0.718357470511,-0.00164252948906,-0.00288657554629
23,0.7,0.700098624477,9.86244771977e-05,-0.00247432179961
24,0.68,0.678995105523,-0.00100489447701,-0.00477989557572
25,0.66,0.658494216271,-0.00150578372941,-0.00461116756208
26,0.64,0.64018365381,0.000183653809957,-0.00358219637949
27,0.62,0.620895168471,0.00089516847084,-0.00204882095185
28,0.6,0.60092254887,0.000922548869528,-0.00119371698828
29,0.58,0.580445277001,0.00044527700114,0.00109426061509
30,0.56,0.560740037282,0.00074003728236,0.000306167673887
31,0.74,0.739369751449,-0.000630248551456,-0.00301168123511
32,0.72,0.719342063763,-0.000657936236631,-0.00416484772697
33,0.7,0.699712670556,-0.000287329443939,-0.00289686057821
34,0.68,0.679743103588,-0.000256896411722,-0.00592184316122
35,0.66,0.659659620567,-0.000340379433208,-0.00390530356373
36,0.64,0.639458450705,-0.000541549294857,-0.00255081293951
37,0.62,0.620609686571,0.000609686571319,-0.00206087910734
38,0.6,0.601186922438,0.00118692243782,-0.000913413228636
39,0.58,0.580555945479,0.000555945479095,0.0012164879462
40,0.56,0.559572929903,-0.000427070096784,0.000952191883552
41,0.74,0.738985250241,-0.00101474975917,-0.000619434677494
42,0.72,0.718187648452,-0.00181235154833,-0.00215981616037
43,0.7,0.699542077982,-0.000457922018381,-0.00331488397138
44,0.68,0.678655932089,-0.00134406791104,-0.00284241400692
45,0.66,0.659417075037,-0.000582924962731,-0.0030939689305
46,0.64,0.640441487351,0.000441487351451,-0.00325421594769
47,0.62,0.619143853123,-0.00085614687738,-0.0022879344062
48,0.6,0.599716496277,-0.00028350372279,-0.000813509234018
49,0.58,0.580915109633,0.000915109632864,0.000151851121648
50,0.56,0.562101213675,0.00210121367461,0.000970617753857
51,0.74,0.738679808101,-0.00132019189939,0.000157757758515
52,0.72,0.718541515746,-0.00145848425369,-0.00119636275519
53,0.7,0.699156822814,-0.000843177185529,-0.00254408630149
54,0.68,0.679385575103,-0.000614424896799,-0.00500907183497
55,0.66,0.659822505187,-0.000177494813111,-0.00403953150501
56,0.64,0.638957290169,-0.00104270983084,-0.00319600599444
57,0.62,0.619966275535,-3.37244651027e-05,-0.00247676543689
58,0.6,0.600339532551,0.000339532551162,-0.000584788147787
59,0.58,0.579737424167,-0.00026257583282,0.00193444320981
60,0.56,0.560420102903,0.000420102903271,0.00128758166653
61,0.74,0.739623581203,-0.000376418797356,-0.00165253553021
62,0.72,0.718580840092,-0.00141915990772,-0.00105584806132
63,0.7,0.698556837838,-0.00144316216161,-0.00213308226301
64,0.68,0.680805633342,0.000805633341722,-0.00413781566764
65,0.66,0.659801648005,-0.000198351994753,-0.00512721191565
66,0.64,0.638795956846,-0.00120404315446,-0.0020208435052
67,0.62,0.620399257626,0.000399257626166,-0.00268035435141
68,0.6,0.600276013938,0.000276013937602,-0.00158319445526
69,0.58,0.581971270813,0.00197127081347,-0.000950893853196
70,0.56,0.560265137132,0.000265137132267,0.00246956557317
71,0.74,0.738704489994,-0.00129551000557,-0.00150037111153
72,0.72,0.718525033156,-0.00147496684389,-0.00283753073974
73,0.7,0.698733765233,-0.00126623476656,-0.00418641683352
74,0.68,0.678928836761,-0.00107116323855,-0.00229146404968
75,0.66,0.66089648732,0.000896487320382,-0.0035483507569
76,0.64,0.639072841322,-0.000927158677593,-0.00249747493748
77,0.62,0.619815680381,-0.000184319618848,-0.00217329132317
78,0.6,0.600207868321,0.000207868321255,-0.000362806987449
79,0.58,0.581282815084,0.00128281508401,6.97313177928e-06
80,0.56,0.561159882404,0.00115988240416,0.00113951664093
81,0.74,0.737986747366,-0.00201325263447,0.00139093104866
82,0.72,0.719883720464,-0.000116279535928,-0.00156287992537
83,0.7,0.699480806329,-0.000519193671056,-0.00305556520023
84,0.68,0.680800945534,0.00080094553405,-0.00326015673884
85,0.66,0.660568839318,0.000568839317957,-0.0038008702405
86,0.64,0.640081261024,8.12610243686e-05,-0.0047724590873
87,0.62,0.620378107818,0.000378107818091,-0.00315451595522
88,0.6,0.600410920516,0.000410920515623,-0.00243188040918
89,0.58,0.580416068001,0.00041606800093,0.00098730247879
90,0.56,0.559900415975,-9.95840254343e-05,-0.000326751571544
91,0.74,0.739089807066,-0.000910192934236,-0.00103896680025
92,0.72,0.719216873359,-0.000783126641426,-0.000907054160208
93,0.7,0.70055969029,0.000559690289583,-0.00331093319618
