Messung,Soll,Ist,Abweichung in X,Abweichung in Y

1,0.74,0.740009168258,9.16825839925e-06,0.0016365951492
2,0.72,0.719549685098,-0.00045031490206,0.00159799644822
3,0.7,0.699976402726,-2.35972740833e-05,0.00272351089145
4,0.68,0.679242388743,-0.000757611256633,0.00163762094492
5,0.66,0.660414557815,0.000414557815466,0.00299960113595
6,0.64,0.639772760866,-0.000227239133877,0.00155729100239
7,0.62,0.619362255234,-0.000637744765752,0.00297500843521
8,0.6,0.600545211189,0.000545211188885,0.00181103150336
9,0.58,0.581168350597,0.00116835059685,0.0024191742238
10,0.56,0.561100781114,0.00110078111435,0.00138796261749
1,0.74,0.738733179092,-0.00126682090835,0.0023630667863
2,0.72,0.719767206386,-0.00023279361387,0.00229771945668
3,0.7,0.699222685606,-0.000777314394058,0.00221671525847
4,0.68,0.679504458615,-0.000495541385028,0.00284914991637
5,0.66,0.660604834848,0.000604834848362,0.000538758633815
6,0.64,0.639757508223,-0.000242491777465,0.00109612174864
7,0.62,0.619471999008,-0.000528000991505,0.00407321953757
8,0.6,0.601001578252,0.00100157825161,0.00202621021848
9,0.58,0.580892648883,0.000892648882522,0.000518099063279
10,0.56,0.560683606755,0.000683606755293,0.000382152212279
1,0.74,0.738930868054,-0.00106913194614,0.00149025955717
2,0.72,0.719285300087,-0.000714699913346,0.00286470374414
3,0.7,0.700075784609,7.57846093274e-05,0.00293320405065
4,0.68,0.680570960625,0.000570960625452,0.00216635658648
5,0.66,0.660701514225,0.000701514225289,0.00313477757198
6,0.64,0.640398919085,0.000398919085424,0.00145808574444
7,0.62,0.619895959994,-0.000104040006412,0.001793954585
8,0.6,0.599718071979,-0.000281928020737,0.00169191873654
9,0.58,0.581171489874,0.00117148987404,0.000948710433523
10,0.56,0.560786181686,0.000786181685936,0.000733419867927
1,0.74,0.739119007243,-0.000880992757013,0.00263259861396
2,0.72,0.719344711909,-0.00065528809071,0.0021911479983
3,0.7,0.698904345577,-0.00109565442303,0.00327802358381
4,0.68,0.680194119471,0.000194119470872,0.00276358352705
5,0.66,0.660733825081,0.000733825081329,0.00246430293169
6,0.64,0.64026496429,0.000264964290122,0.00142411110914
7,0.62,0.620026833448,2.68334480403e-05,0.00132763268263
8,0.6,0.600245183841,0.00024518384062,0.00170873375044
9,0.58,0.580572666768,0.000572666768459,0.00164997604072
10,0.56,0.561475272445,0.00147527244494,0.000665287326324
1,0.74,0.738587870376,-0.0014121296237,0.00276403706243
2,0.72,0.718574547467,-0.00142545253302,0.00209457356464
3,0.7,0.699296224266,-0.00070377573359,0.00311705130754
4,0.68,0.679271248989,-0.000728751011366,0.0033084233315
5,0.66,0.660989289541,0.000989289540742,0.00378826522845
6,0.64,0.640802146855,0.000802146854652,0.00215001190688
7,0.62,0.62057543253,0.000575432530117,0.00124035620458
8,0.6,0.601435152575,0.00143515257544,0.0052354584004
9,0.58,0.580506484464,0.000506484464125,0.00301586395877
10,0.56,0.560270794077,0.000270794076742,0.0012597702305
1,0.74,0.738996029833,-0.00100397016738,0.0010231287534
2,0.72,0.720555634986,0.000555634985949,0.00163868166319
3,0.7,0.699265996517,-0.000734003482685,0.00251769159294
4,0.68,0.680198155065,0.00019815506455,0.00162909642157
5,0.66,0.661320648261,0.00132064826123,0.00211101897006
6,0.64,0.640915703311,0.000915703310879,0.00128928518215
7,0.62,0.62116641162,0.00116641161986,0.00212336785713
8,0.6,0.60076727439,0.000767274390186,0.000459563321007
9,0.58,0.581487664636,0.00148766463596,-0.000125559236208
10,0.56,0.560054007704,5.40077039598e-05,0.00252989813156
1,0.74,0.739680560705,-0.000319439295183,0.000744995168151
2,0.72,0.719517008491,-0.000482991509163,0.00166874342287
3,0.7,0.699275229746,-0.000724770253756,0.00242465664575
4,0.68,0.680118748626,0.000118748625731,0.00259652007364
5,0.66,0.659571852315,-0.000428147685145,0.00401495348227
6,0.64,0.640454517659,0.000454517658923,0.00184329646839
7,0.62,0.620578997434,0.000578997434052,0.000238749194106
8,0.6,0.601486534935,0.00148653493487,-0.000213491931432
9,0.58,0.580827016807,0.000827016807245,0.00355311413544
10,0.56,0.559845055488,-0.000154944511816,0.0029302802716
1,0.74,0.738571993242,-0.00142800675768,0.00240693638308
2,0.72,0.719306454049,-0.000693545950848,0.000855753265701
3,0.7,0.699667600193,-0.000332399807265,0.00255740550961
4,0.68,0.680911569143,0.000911569143462,0.00277788901398
5,0.66,0.660778137141,0.000778137140814,0.00189090865232
6,0.64,0.641073208107,0.00107320810676,0.00223317956707
7,0.62,0.620113813763,0.000113813763194,0.00172652542682
8,0.6,0.601511246356,0.00151124635561,0.00218734507877
9,0.58,0.581693234689,0.00169323468865,0.00117182665385
10,0.56,0.560570884915,0.00057088491527,0.000712175266949
1,0.74,0.738858253039,-0.00114174696097,0.00107891614006
2,0.72,0.71983574008,-0.000164259919621,0.00302119522367
3,0.7,0.700069438603,6.94386027852e-05,0.00276660064309
4,0.68,0.679820272651,-0.00017972734921,0.00117170625017
5,0.66,0.660446874634,0.000446874633759,0.00172141837355
6,0.64,0.639616760933,-0.000383239067061,0.0026199360442
7,0.62,0.61972347458,-0.000276525420193,0.00185898012046
8,0.6,0.599440493847,-0.000559506152826,0.0034597968952
9,0.58,0.580568022198,0.00056802219752,0.000488999541292
