Messung,Soll,Ist,Abweichung in Y,Abweichung in X
1,0.22,0.2166440269,-0.00335597309951,-0.00229924618332
2,0.24,0.236387474068,-0.00361252593229,0.000880821114353
3,0.26,0.257591216623,-0.00240878337711,-0.00184837217159
4,0.28,0.277928478354,-0.00207152164594,-0.000998672811178
5,0.3,0.298182230254,-0.00181776974557,-0.00122623468705
6,0.32,0.317106894586,-0.0028931054135,-0.000737897482746
7,0.34,0.335928848589,-0.00407115141109,0.00131856628176
8,0.36,0.354629897233,-0.00537010276741,0.00276367202762
9,0.38,0.375080000367,-0.00491999963275,0.00376482065326
10,0.4,0.395706678956,-0.00429332104364,0.00218057610118
1,0.22,0.216688147938,-0.00331185206197,-0.00129709241357
2,0.24,0.23635642263,-0.00364357736989,-0.000954406252122
3,0.26,0.257227830291,-0.0027721697086,0.000387750322906
4,0.28,0.277970001344,-0.00202999865561,-0.000175211581288
5,0.3,0.297721172963,-0.00227882703671,-0.000768122339255
6,0.32,0.317294299961,-0.00270570003943,0.00130783223895
7,0.34,0.335629652462,-0.00437034753777,0.00355338119213
8,0.36,0.35527888754,-0.00472111246026,0.00259339057115
9,0.38,0.374912113343,-0.00508788665731,0.000570081950681
10,0.4,0.394476588787,-0.00552341121264,0.00181228224057
1,0.22,0.215632225179,-0.00436777482052,-0.000795043373132
2,0.24,0.236386514549,-0.00361348545112,0.00177164082163
3,0.26,0.255444361887,-0.00455563811314,0.00185627030721
4,0.28,0.276294978715,-0.00370502128458,-0.00064758063185
5,0.3,0.296395484704,-0.00360451529571,-0.000955604732377
6,0.32,0.316129852448,-0.00387014755154,0.00182580901997
7,0.34,0.335138744325,-0.00486125567518,0.00236267436862
8,0.36,0.354704153791,-0.00529584620865,0.00149009697066
9,0.38,0.373893217992,-0.00610678200773,0.000247780714393
10,0.4,0.396158246843,-0.00384175315664,0.000564787408916
1,0.22,0.217328912263,-0.00267108773702,5.57132940107e-05
2,0.24,0.237909287946,-0.00209071205446,0.000368836792113
3,0.26,0.257592485794,-0.00240751420605,-0.000230540872176
4,0.28,0.276995465845,-0.00300453415493,-0.000666308038004
5,0.3,0.296754138407,-0.00324586159277,-0.000418324494395
6,0.32,0.316729429494,-0.00327057050565,0.00163591711371
7,0.34,0.337348646501,-0.0026513534988,0.0025457049361
8,0.36,0.355416413626,-0.00458358637402,0.00264166861712
9,0.38,0.375984117012,-0.00401588298797,0.00216143634288
10,0.4,0.395593707138,-0.00440629286228,0.0034329819113
1,0.22,0.216200939829,-0.0037990601706,-0.00155071198444
2,0.24,0.237143798343,-0.00285620165739,0.00245477477867
3,0.26,0.256784496967,-0.00321550303306,0.00192365183884
4,0.28,0.275578560612,-0.00442143938766,0.00054488546692
5,0.3,0.295435597861,-0.00456440213908,-0.000760342978049
6,0.32,0.316875153915,-0.00312484608548,0.00156239634852
7,0.34,0.335908832671,-0.00409116732856,0.00395321042651
8,0.36,0.355093983207,-0.004906016793,0.00167889773766
9,0.38,0.374416616796,-0.00558338320422,0.00252544222183
10,0.4,0.394568207135,-0.00543179286462,0.00277238909047
1,0.22,0.216260145096,-0.00373985490389,1.71254374257e-05
2,0.24,0.237529437326,-0.00247056267375,0.00131256187805
3,0.26,0.25793771764,-0.00206228236039,0.000445747127838
4,0.28,0.277344078832,-0.00265592116776,3.38751236119e-05
5,0.3,0.296867043978,-0.00313295602234,-0.000805726566577
6,0.32,0.31669216517,-0.00330783483041,0.000696950850688
7,0.34,0.335743358034,-0.00425664196577,0.00270130625365
8,0.36,0.355793285027,-0.00420671497325,0.0032979299747
9,0.38,0.374461196136,-0.00553880386433,0.00296203846905
10,0.4,0.395927604975,-0.00407239502522,0.0026995561093
1,0.22,0.216378477434,-0.00362152256624,-0.00338057752837
2,0.24,0.237048031345,-0.00295196865516,0.000201592466525
3,0.26,0.257427120476,-0.00257287952355,0.000880182535628
4,0.28,0.277442306395,-0.0025576936046,0.00133731340151
5,0.3,0.296291502041,-0.00370849795905,-0.00172821600251
6,0.32,0.31629951238,-0.00370048761961,0.00063634437505
7,0.34,0.334870579603,-0.00512942039748,0.00284954597837
8,0.36,0.356263596234,-0.00373640376618,0.00112393869523
9,0.38,0.376460702507,-0.00353929749323,0.00133465803184
10,0.4,0.396227073074,-0.00377292692612,0.00211364230748
1,0.22,0.215819330255,-0.00418066974513,-0.00188855001347
2,0.24,0.235765260585,-0.00423473941505,0.00061459118415
3,0.26,0.256545015781,-0.00345498421886,-0.000823503982435
4,0.28,0.276509778697,-0.00349022130308,-0.000695173187117
5,0.3,0.29635952834,-0.00364047166048,-0.000670723217281
6,0.32,0.3157551141,-0.00424488589997,0.000809837264263
7,0.34,0.336003223001,-0.00399677699888,0.00467369494339
8,0.36,0.354678996015,-0.00532100398496,0.00284777589769
9,0.38,0.37579232769,-0.00420767231009,0.00215074277106
10,0.4,0.395629180209,-0.00437081979085,0.00290593603686
1,0.22,0.216335680619,-0.00366431938096,-0.0012394721361
2,0.24,0.237482273092,-0.00251772690838,0.00142508460576
3,0.26,0.257639617419,-0.0023603825813,0.00081480464695
4,0.28,0.277015076339,-0.00298492366132,-0.000530725988254
5,0.3,0.296145500341,-0.00385449965889,-0.000668405523118
6,0.32,0.316299397247,-0.00370060275348,0.000778116699329
7,0.34,0.336297041879,-0.00370295812127,0.00325502105935
8,0.36,0.354985510941,-0.00501448905861,0.00119621274836
9,0.38,0.375805422825,-0.00419457717478,0.00104816673709
10,0.4,0.395992825406,-0.00400717459397,0.00198159801554
1,0.22,0.218452655849,-0.00154734415071,-0.00114219946059
2,0.24,0.237443234025,-0.00255676597495,0.000523370657391
3,0.26,0.256688714867,-0.00331128513301,0.000501722533313
4,0.28,0.276563695169,-0.00343630483146,-0.000715309948036
5,0.3,0.297008655694,-0.00299134430554,-0.00177405974557
6,0.32,0.316802106724,-0.0031978932756,6.07219030688e-05
7,0.34,0.335643707964,-0.00435629203554,0.00205295262177
8,0.36,0.354426945319,-0.00557305468141,0.00299063483423
9,0.38,0.376953827599,-0.00304617240085,0.00185496081273
10,0.4,0.397222790157,-0.00277720984255,0.00129193264463
