Pose,x_diff[mm],y_diff[mm],z_diff[mm]
x56y30,-2.40087402701,0.793147117792,-0.814123179723
x60y30,-0.0338635184656,3.88899365944,0.461109000219
x38y26,-3.46430538322,1.07699920301,-0.841849187394
x62y24,-0.0526487861973,4.98276654472,1.08636667572
x62y26,-1.15211786005,3.88296263303,0.025866073826
x62y20,-0.631251425294,2.87476696219,0.25480493844
x62y22,1.24839537353,3.24855017168,0.950205546554
x62y28,-0.940742752783,3.18898759316,-0.505899397808
x50y30,-1.33634205684,0.822852854394,0.160912138969
x60y22,-1.12645406347,2.12893827103,-1.15244901267
x60y20,0.119925775492,2.94417589621,0.0946848657949
x60y26,-3.33965222058,1.61578138135,-1.90137547357
x60y24,-2.62155807307,1.11919154445,-1.23535305516
x60y28,-2.65882328363,-0.124515824884,-1.14986027768
x38y12,-2.93451563299,1.11519025702,-0.620841456183
x38y10,-2.25167555311,1.31389159377,-0.65836649864
x38y16,-0.687726736462,0.116609206588,-0.115166383724
x38y14,-1.20604604005,0.930274537114,-0.148821730334
x38y18,-1.96867110082,-0.29838916465,-0.568524725108
x62y10,-0.498612219044,0.459370704881,0.11790784615
x62y12,-0.630885243407,-0.617790228309,-0.0140934820034
x62y14,-1.07440878507,0.917573625572,-0.258829075466
x62y16,-0.419766776414,1.68270571125,-0.421349967333
x62y18,-0.0865155182956,3.37351409605,0.238352908803
x50y24,0.396871823349,1.16864059368,0.560253008175
x50y26,0.223402048268,1.7076548909,0.193369000445
x50y20,-0.361499095653,1.87739302733,-0.0220883501826
x50y22,1.20962376752,2.86774491062,0.444010699662
x50y28,-0.306708757048,2.44468556946,0.0153216811114
x56y18,-0.414408321152,0.377452800545,-0.463151111693
x38y28,-2.65805065651,1.25553874539,-0.692369852857
x56y12,-0.803462489915,-0.756005526844,-0.0556271325055
x56y10,-0.861322006622,-0.229746478576,0.0958862553696
x56y16,0.255753983095,1.71549398153,0.463397221595
x56y14,-0.740287090142,0.438304342596,-0.169965093297
x42y10,-0.711681900261,1.09989132962,-0.0187424722777
x58y10,-1.40017571614,-0.288423551673,0.0969781762797
x58y12,-0.416411171413,0.694466633848,-0.197668121163
x58y14,0.0346553750887,1.27180783529,-0.00645607667937
x58y30,-1.78337400354,3.05538976272,0.0278039435625
x58y16,0.539805753015,2.26719769354,0.730418029575
x58y18,-0.598030349451,0.360291672511,0.11744029748
x66y30,-0.724284014837,2.85506044177,-0.277886619757
x42y16,-1.97456665642,-0.799598144191,-0.345322708982
x42y14,-0.993370361566,0.743785144239,-0.563668967093
x42y12,-1.28911872296,0.325298542005,-0.195593268248
x64y18,0.314240336422,2.74204937177,0.0370174269196
x64y20,0.253887500638,1.64560012627,0.130588840959
x64y16,0.141328588726,4.00403947606,-0.114831311639
x64y14,-0.21100222227,0.677029556305,0.33590812861
x64y12,0.585290739511,0.833571609917,0.0687836561059
x42y18,-1.4166839891,-2.17689722397,-0.0986458720536
x40y30,-3.35384304974,0.917236412704,-0.93828198577
x64y10,0.580743056219,1.0450172842,0.654541209987
x52y26,-0.885778939464,2.3584588933,-0.165312996201
x52y24,-0.70634429116,3.22594532764,-0.111031223475
x52y22,-0.694041353079,2.8550105004,-0.0423224163061
x52y20,-1.01019080761,2.22803535906,-0.153625882339
x48y30,-0.236107638504,2.21112929644,0.443846149559
x52y28,-0.136528857659,3.10349826527,0.554441701603
x54y14,-0.588302733087,1.14388313569,0.489871782144
x54y16,-2.7602064261,0.318450658634,-0.925576151837
x58y28,-2.12219769712,4.59751003251,-0.603308601799
x54y10,0.844069158109,2.36698880811,0.837949194763
x54y12,1.09729167671,0.694378013319,1.07660534512
x58y24,-0.643634371189,2.77095341896,-0.25339333687
x66y20,-1.47195993749,4.57314765906,-0.648778642599
x58y26,-1.76512846651,3.58484045212,-0.151098497695
x66y22,-0.907014236447,3.54153054908,-0.18303450515
x58y20,-2.33192356466,1.3251757836,-1.29458125793
x54y18,-1.41935015096,0.759961673031,-1.13044424537
x58y22,-0.747031634565,2.38990934802,-0.413187015731
x66y26,-0.865649350639,3.20859079078,0.138752366793
x40y20,-1.89536214326,1.41019767455,-0.61152423159
x40y22,-1.95836670372,1.07486702122,-0.658302798373
x40y24,-2.38583146458,0.822932928624,-0.828499511625
x40y26,-2.87733628058,0.730355205093,-0.634034090978
x40y28,-3.16756742119,0.800909206882,-0.931324342794
x44y30,-3.84124613084,0.758594119783,-0.813579712169
x66y14,-0.0506541011274,2.07087470707,0.363509987089
x46y12,-0.817912343669,0.976923723605,-0.540412583283
x66y16,0.271842290932,1.64570913094,0.807688012692
x66y10,0.184922589359,0.856098680704,0.15189177296
x52y30,-2.73910098817,1.5138874346,-0.703167051049
x66y12,-0.32818584378,1.60427538898,0.0605266900852
x66y18,-0.278072549116,4.24515353093,-0.628314323506
x54y22,-2.46662150904,2.1318366245,-1.17632459127
x54y20,-2.53761269108,1.91446913056,-1.50607065675
x46y10,-2.72179261954,2.23935685083,-0.870292157844
x46y16,-0.345640769295,0.19349355399,0.332328449459
x46y14,-1.24340695706,0.546448567384,-0.441670092158
x54y28,-2.10600544995,2.41877343906,-0.552958464855
x54y24,-1.09018040504,1.28681246672,-0.221334724473
x46y18,-1.87497567547,0.734865196597,-0.726626526472
x66y28,-0.839536755389,4.47239066881,-0.191935342531
x42y30,-3.63627096287,2.19218004183,-1.15977505488
x54y26,-1.40080356646,1.7437623471,-0.943583429503
x64y30,-0.832749781923,2.83379776264,0.307190751213
x40y18,-0.994305220897,-1.20955334499,0.0118936999449
x44y28,-2.49808742455,2.45457547289,-0.958065382673
x40y14,-1.89658857775,0.229089091913,-0.405168885222
x44y24,-2.20194571911,0.63576928611,-0.613991103144
x40y16,-1.26786442484,-0.00512578398418,-0.141655537774
x44y26,-2.22461762457,2.07263961141,-0.913680058446
x40y10,-2.35706065275,0.870797117384,-0.557500185444
x44y20,-2.32638666646,2.76804569853,-0.968504460511
x40y12,-0.695905236964,0.921940518345,-0.165238905396
x44y22,-2.85488707974,1.13383646782,-0.804690949361
x54y30,-1.50242816506,1.77335059603,-0.395336531538
x48y28,-1.04816757657,2.06052556036,-0.173351626205
x48y20,0.632220981721,1.33245369251,0.35118472455
x48y22,-0.917936651141,1.66934460709,0.623575198595
x48y24,0.434378377915,2.12654950429,0.220056367642
x48y26,-0.65797908283,2.4435426304,-0.145778765749
x42y28,-3.37082268542,1.31712311949,-0.852322818957
x42y26,-4.26449395701,2.02827430894,-1.45336184505
x42y24,-3.53260319056,2.15508486083,-1.03869624076
x42y22,-2.96074697901,1.80374265153,-0.822948673695
x42y20,-2.15113961533,1.49116515682,-0.819541823332
x44y18,-3.59353744752,-0.101225000231,-0.873620650356
x44y10,1.14709901403,1.66586126599,0.310998861637
x60y18,-0.0265722957798,4.29112114522,0.665634824718
x60y12,0.0800022559004,0.392524315382,-0.0348695945965
x60y10,0.255918907339,0.996060897386,0.0347388241073
x60y16,-0.071306822336,0.6773730776,0.333382422273
x44y12,2.04382298156,0.837536440622,0.786612363957
x44y16,-1.42478097256,-0.140096725803,-0.176897127474
x48y14,-0.589950144881,-0.996031423844,0.317507715858
x48y16,-0.214343559847,-0.477795538972,0.124316420139
x48y10,-1.55036628309,-2.14165894444,0.132382173595
x48y12,-0.00357419223007,2.80983288252,-0.475141516764
x52y18,-1.71167520342,-0.261973221566,-0.869232842983
x38y22,-3.32790830824,0.611842307259,-0.952451122222
x44y14,1.77004866478,0.0706488388338,0.609272597154
x38y20,-3.78123726458,0.629916174398,-1.15874501128
x52y14,1.31770200813,5.78347186753,1.01649494093
x48y18,0.0791242792262,0.752050798783,0.261467505748
x52y12,2.07116652636,3.29446123456,0.855877719413
x38y24,-3.22430541385,0.827046382629,-0.875894623309
x52y10,2.45927105636,3.10982623886,1.48586948023
x46y28,-1.28622226839,2.34740365617,0.0489680289656
x60y14,-0.756738961797,-2.27483450872,0.444859021904
x64y28,0.821495905868,4.45895235806,1.50484790038
x46y30,-1.06220383008,0.789699729423,0.262927281714
x56y22,-1.49473168543,0.709387125633,-1.01612475465
x50y18,-0.290336778941,1.43218715952,0.0344664817183
x56y20,-0.148388069941,2.00237650576,0.142924305869
x56y26,-3.57224551863,0.588240248979,-1.73703338075
x56y24,-3.35138567076,1.40269832033,-1.62485757676
x50y10,-0.975791978135,3.834790928,-0.763929895513
x56y28,-2.00911792843,1.53010942362,-1.22461664375
x50y12,-1.60984904308,-0.947157302784,-0.560420076902
x50y14,-0.864162170517,3.54377770605,-0.501775328251
x50y16,-2.32767699362,1.37562296325,-1.16196392998
x62y30,0.996990506933,3.43525942451,0.703591625212
x38y30,-3.17009166824,1.30181924581,-0.589303403586
x66y24,-0.375598562141,3.65360788091,0.0420017378346
x64y26,1.48842977322,3.01481981055,1.39033159876
x64y24,0.307782694151,2.49515581113,0.790154165641
x64y22,0.528286492436,2.80726189229,0.659770692564
x52y16,-0.413875792696,-0.349222565289,-0.17516850179
x46y22,-1.62822013886,0.967099337413,-0.378292520921
x46y20,-0.535061861155,1.2171976188,-0.274886270118
x46y26,-0.725120738275,2.66186678602,0.0187624416228
x46y24,-0.72513992976,1.05050419537,-0.00138194544405
