Pose,x_diff[mm],y_diff[mm],z_diff[mm],,
y28x59,-2.01858674808,1.94487192495,-1.08482508783,,
y22x47,-1.89138425953,2.51485511116,-0.438151027634,,
y25x44,-3.28157402423,2.00816359599,-1.05013997831,,
y25x41,-2.92332838498,1.67361274954,-0.630026878896,,
y28x38,-1.71533017158,1.74486704529,-0.624319862782,,
y19x50,-0.457003968563,3.66808466508,-0.0538892409661,,
y25x59,-3.3706804329,2.41456855795,-1.68236141442,,
y19x38,-2.78123265021,-0.802641356346,-0.471592193465,,
y19x53,-1.74761425667,0.925673532155,-0.883052605293,,
y22x44,-2.21951839316,1.43893077236,-0.55925072599,,
y19x56,-0.681978553934,1.90532308322,-0.000731293969658,,
y22x62,-1.333285131,4.82485800533,-0.620760247559,,
y19x59,0.439230419352,2.67983297099,1.08599662386,,
y25x62,-0.558325536584,4.27915443917,0.0714393190646,,
y22x65,-0.711652720082,2.91656741636,-0.726602222634,,
y10x41,-2.63039228021,-1.21426115942,-0.32767863328,,
y13x65,0.0910998356347,3.85591179097,-0.237409559964,,
y10x65,0.265357304948,3.9701945404,-0.337995327132,,
y10x44,-1.39451597998,0.0224439421799,-0.38517016518,,
y13x62,-0.399644810676,0.955680284694,-0.458439020494,,
y16x62,0.26031934183,5.19475598043,-0.0807346874322,,
y10x47,-1.58553972296,-2.59350789943,-0.0835591368127,,
y25x56,-3.3696726617,3.25322591497,-1.46256435398,,
y25x53,-1.36005550969,2.89524018745,-0.481623631383,,
y28x41,-3.14205420557,1.27608576222,-1.0016291492,,
y25x50,-1.45963940682,1.41247995799,0.09902214738,,
y22x41,-1.83728090599,1.45044771626,-0.674462211927,,
y28x47,-1.43155342439,2.05691251355,-0.0310152563879,,
y28x44,-2.89991910211,0.400811317133,-0.380486301035,,
y13x44,1.18175320572,2.85662193436,0.268042425222,,
y13x47,-0.137768897618,0.225301937579,0.1806625578,,
y16x41,-2.21930965279,-2.28715229257,-0.0579827086415,,
y13x41,-2.75072550848,-1.00951329283,-0.371763307836,,
y16x47,0.637209731394,-0.782576660771,0.575744464926,,
y16x44,-1.30632761834,-0.265462980221,0.00652071074192,,
y28x53,-2.32562355351,3.35237829724,-0.800592360538,,
y28x62,-1.20860704038,3.87541088273,0.299099652057,,
y16x65,-0.310221673096,2.16912516385,-0.118930046239,,
y16x38,-1.2756719867,-1.81023035019,0.207276212229,,
y28x65,-0.713045790342,2.87298157345,0.412717271249,,
y19x65,-0.365071593213,4.55459783752,0.535069838132,,
y22x53,-1.02025208213,2.59926269901,-0.522996782314,,
y22x50,-1.08041794337,1.59189021256,-0.69311921544,,
y22x56,-0.775721786624,4.01227251112,0.133470211616,,
y19x62,-0.0668564298538,3.42239159465,0.0587469250559,,
y19x47,0.311067549426,0.254468692078,0.180268509673,,
y10x62,-0.620946998561,3.41496370425,-0.200264308835,,
y19x44,-2.01057444868,0.217360739568,-0.723953989537,,
y19x41,-2.90497126222,-2.11759363646,-0.16794130373,,
y22x38,-3.18843451229,-0.747081507795,-1.08341797678,,
y10x38,-2.61761347098,-0.844591367864,-0.426373060193,,
y25x65,-0.0465074526971,4.12633530539,0.912765598084,,
y13x38,-0.25155331865,1.10267784887,-0.14494960849,,
y25x38,-2.04306684402,2.69789988108,-0.49576380915,,
y10x59,-1.72539996597,2.10148496252,-0.669914925864,,
y25x47,-1.96805413912,3.48431577665,-0.575961146985,,
y10x56,-0.116889974554,-0.530994164443,0.250063775509,,
y22x59,0.471841780425,4.35227446503,1.30397383957,,
y10x53,0.548455120819,0.568125870253,0.769172952025,,
y10x50,-1.05193201991,0.862210878472,-0.284510525407,,
y16x59,0.920836818065,2.4658198663,1.07936904429,,
y28x56,-2.28090077686,1.70849876056,-0.75140002613,,
y28x50,-1.30627469379,1.99770728598,-0.211075601017,,
y13x59,-0.892395199362,-0.496848147558,0.191208820631,,
y13x56,-0.1776833758,0.338832513277,0.663459980695,,
y16x50,-0.249454304112,0.0614030355897,0.210952417001,,
y16x53,-2.92727703497,0.562576497334,-1.06971387532,,
y13x53,-0.266225765711,0.243596108548,-0.221580021595,,
y13x50,0.464027068802,3.14937244311,-0.251792832691,,
y16x56,-2.68985035444,-0.399546174926,-1.21300642751,,
Pose,x_diff[mm],y_diff[mm],z_diff[mm],,
y28x59,-3.27553038138,-0.642891536388,-1.72425181403,,
y22x47,-2.1569612977,2.84535780913,-0.497820860298,,
y25x44,-3.99069224707,1.12345587965,-0.657566462869,,
y25x41,-2.39622290705,1.88706411526,-0.802909803297,,
y28x38,-1.06850790393,1.13766928599,-0.303851658907,,
y19x50,-0.643117458522,1.11336836073,-0.522237186139,,
y25x59,-2.02983814633,3.82475721372,-1.26887374978,,
y19x38,-4.07630684905,-0.648561481672,-1.52345114423,,
y19x53,-1.39157950856,1.29585657568,-0.379208038612,,
y22x44,-3.21410336892,2.80599487247,-0.974919748343,,
y19x56,-0.683451822428,3.59658471192,-0.036973997403,,
y22x62,-2.91388655935,3.09777560182,-2.07213009092,,
y19x59,1.46652159793,3.29643652349,1.27371822389,,
y25x62,1.13818364048,4.35632615846,1.29302597395,,
y22x65,1.1515715964,4.11456020407,1.77154031077,,
y10x41,-2.25815586612,1.13720722419,-0.990653001638,,
y13x65,0.243033195489,3.28454356217,-0.313806032272,,
y10x65,1.22849439579,4.26822336657,0.864857163602,,
y10x44,-2.95847770833,0.196169344821,-1.07435713683,,
y13x62,0.747334586193,3.92006105254,0.683896217646,,
y16x62,-0.516218234704,0.692681908043,0.344885557482,,
y10x47,-1.42371765629,-0.709956849896,-0.476654751202,,
y25x56,-2.76216818329,0.550476391326,-1.12105989076,,
y25x53,-0.86465527179,0.221939042903,0.0535608477535,,
y28x41,-3.07229299434,1.88159447347,-0.222538487905,,
y25x50,-1.30303614856,1.8572929383,-0.142988089928,,
y22x41,-2.56946450886,1.23679933678,-0.898818521868,,
y28x47,-1.6872246355,3.19084980013,-0.0656109026635,,
y28x44,-2.63105061382,1.97905738876,-0.867287017644,,
y13x44,-2.3896010223,1.66871089425,-0.569881524488,,
y13x47,-0.12597391828,-0.934005138689,0.362440621172,,
y16x41,-2.25338283226,0.931634929842,-0.248720421542,,
y13x41,-2.07396256328,-0.533299980482,-0.092950954194,,
y16x47,0.626924328367,1.56125291409,0.41176296047,,
y16x44,-0.790800877509,-1.15535234153,-0.228146833238,,
y28x53,-1.57842781968,1.6545538549,-0.827772741785,,
y28x62,0.0385007471603,3.69748298709,0.890975861025,,
y16x65,-0.326577498759,4.44643010656,-0.240779858235,,
y16x38,-2.45462573372,0.0321865951659,0.0290530850546,,
y28x65,0.0965795210999,2.90765975676,0.981844042719,,
y19x65,-1.80672020178,1.82277666603,-0.497499829928,,
y22x53,-0.770891870852,1.58837229727,0.315367620633,,
y22x50,-0.00120230709239,1.1441890117,0.322887077408,,
y22x56,-2.52206003035,2.6879560708,-1.01172643129,,
y19x62,-0.659529282749,3.37082866987,-0.0550328269545,,
y19x47,-1.95525619192,2.57953349783,-0.390547553939,,
y10x62,-2.08106724529,2.53007190045,-1.91290503583,,
y19x44,-1.96327564127,1.28492804986,-0.753700251831,,
y19x41,-3.23149554738,1.07377251311,-0.725023671939,,
y22x38,-1.90959964579,0.732091170192,-0.760787807413,,
y10x38,-2.64366719647,0.537067543879,-1.24193181202,,
y25x65,-0.380441466092,4.96301998341,0.11399477062,,
y13x38,-3.4816806567,-0.676598191008,-0.104958460685,,
y25x38,-1.65694297051,2.16748150145,-0.0597992279982,,
y10x59,-0.375523806579,2.99019536084,0.489849549105,,
y25x47,-2.24304203556,2.74618664516,-0.553666017332,,
y10x56,-0.909678522036,3.41391875511,-1.24377229639,,
y22x59,-0.934929902211,3.45230757891,-0.123234378895,,
y10x53,0.278816198032,3.5637381577,0.652860502332,,
y10x50,0.899058994437,-1.16372073484,1.09607225777,,
y16x59,-0.581420387622,0.923108222031,-0.0484015475973,,
y28x56,-1.63774353806,1.63267008081,-0.434113131489,,
y28x50,-1.41946277174,1.27147615653,-0.526620619451,,
y13x59,-1.40782496329,1.92387525769,-0.954395335982,,
y13x56,-0.639350481016,0.481679827667,-0.103428365392,,
y16x50,-2.50039307022,0.25291381934,-1.20161393911,,
y16x53,-2.91042479672,-1.23362793028,-0.870136005687,,
y13x53,-2.00737356504,0.876586205616,-0.818050961512,,
y13x50,-0.155269276333,-0.324397291287,0.673184150796,,
y16x56,1.27024533657,1.66828816061,1.56464698341,,
Pose,x_diff[mm],y_diff[mm],z_diff[mm],,
y28x59,-3.40039954912,1.1873027471,-1.73706264539,,
y22x47,-1.3751732049,2.62618474968,-0.394435495146,,
y25x44,-3.19273572784,1.02218149031,-0.914683562474,,
y25x41,-2.80591205992,2.21576561342,-0.845906296878,,
y28x38,-1.63492424745,0.582500017936,-0.112446208695,,
y19x50,1.16612585689,3.40761731753,0.530093038488,,
y25x59,-2.2882296812,1.00941190155,-1.31501386068,,
y19x38,-3.9917493188,-0.601253178961,-1.06437394151,,
y19x53,-1.00965488117,2.88700048006,-0.210685145713,,
y22x44,-3.48319527754,3.48567047304,-1.0323357922,,
y19x56,-1.64116443256,3.35120572013,-0.610796282204,,
y22x62,-0.63553510707,2.30138006126,-0.457399102634,,
y19x59,-2.81554666622,2.15887355342,-1.47672656468,,
y25x62,-0.525623766845,3.88399096924,0.446901607545,,
y22x65,-1.32116668427,4.36185009952,-0.711657448188,,
y10x41,-3.87741746391,0.370622918453,-1.17590648427,,
y13x65,-0.20779619174,2.61504541472,0.18298266973,,
y10x65,1.99480993159,3.6475462386,1.45458337957,,
y10x44,-3.79106171116,-0.773813765346,-1.16562973662,,
y13x62,0.608689384988,4.07057820103,0.959341992307,,
y16x62,1.45275309158,4.46760890166,1.07678013593,,
y10x47,-2.00940843472,0.0151785210373,-0.217718163134,,
y25x56,-1.81897438527,1.5132685364,-0.444457034914,,
y25x53,-1.47828916038,2.63350549784,-0.317678227029,,
y28x41,-4.06652045329,1.61301947519,-0.800051180942,,
y25x50,-0.526578131195,0.716053609601,0.123096948173,,
y22x41,-3.61102313477,0.321315150786,-1.15487270957,,
y28x47,-2.138994807,3.00665579146,-0.328477612207,,
y28x44,-3.17370877837,1.27359663165,-0.749669349129,,
y13x44,-0.954004670056,0.940005855529,-0.392814070965,,
y13x47,-0.0259097888976,-0.280781144797,0.371851544464,,
y16x41,-2.98118323582,0.434689827548,-0.726765529815,,
y13x41,-2.10285034114,-1.43278612261,-0.202358603678,,
y16x47,-1.15379512829,-0.56361236303,-0.0884445057904,,
y16x44,-2.66964411579,2.21774512116,-1.4517469464,,
y28x53,-1.45470478411,1.77865474266,-0.793417311791,,
y28x62,-1.53401691384,4.58590766092,-0.142940893606,,
y16x65,-0.218001228643,1.53986741927,0.434181806139,,
y16x38,-3.36212175421,0.206476277632,-1.19156676417,,
y28x65,-0.0473980943152,3.86488249562,1.12105894916,,
y19x65,-0.51828486307,1.97397250238,0.0236396396498,,
y22x53,-0.477325191219,1.97516780916,-0.264914609794,,
y22x50,-2.21802932929,2.34904878025,-0.894724630813,,
y22x56,0.502105224998,4.67974337238,0.742020655585,,
y19x62,1.39140377464,4.01290960328,1.78135736153,,
y19x47,-1.95631147228,-0.0186575641216,-0.488338843356,,
y10x62,-1.33739828217,2.54107063936,-0.890480188871,,
y19x44,-2.90079680109,0.327617983584,-1.08281885301,,
y19x41,-3.62997299162,0.398915893178,-0.756763124519,,
y22x38,-3.10079947526,-0.0198291464113,-1.37292986244,,
y10x38,-2.11728995976,-0.54138070279,-0.984362674453,,
y25x65,0.698328899553,4.49334266882,1.5784565018,,
y13x38,-1.42748749942,-0.0650442428008,-0.611225804079,,
y25x38,-1.6165047076,2.91969525364,-0.599762135236,,
y10x59,-0.857943345115,3.87507286209,-0.701324645779,,
y25x47,-2.22487663307,2.95951838223,-0.665658705123,,
y10x56,-1.62502123579,3.44581567027,-1.21227359337,,
y22x59,0.789973189442,3.04329350671,0.983718000936,,
y10x53,-0.182738444408,3.17296705221,-0.040765387125,,
y10x50,0.116498423975,0.101296663209,0.403132075208,,
y16x59,-0.71649478596,1.18017629093,-0.683944668846,,
y28x56,-2.09011062036,2.3856385105,-0.74771212908,,
y28x50,-1.49075496026,1.64620426604,-0.257335068648,,
y13x59,-0.663035932533,2.80470000651,-0.45677229303,,
y13x56,-0.912091580728,0.745225300753,-0.433971046395,,
y16x50,-0.121119353803,1.52875618776,0.139868743672,,
y16x53,-1.85121756732,0.123072814007,-0.0737753400782,,
y13x53,-2.4585459123,0.110888608662,-0.754440047827,,
y13x50,-0.0910387537095,-0.512587454953,0.522774032032,,
y16x56,-0.932280908543,4.37345674669,-0.838218800336,,
Pose,x_diff[mm],y_diff[mm],z_diff[mm],,
y28x59,-3.27981182154,2.32334676213,-1.8335441537,,
y22x47,-1.51306510441,2.2346520823,-0.306774770499,,
y25x44,-2.0907450717,1.80676264181,-0.693560829646,,
y25x41,-2.63043790804,0.879016663798,-0.790563815306,,
y28x38,-1.69824803186,0.947251514976,-0.495791953829,,
y19x50,-0.76072021557,0.580335035714,-0.5552565698,,
y25x59,-1.48587009108,3.38510611699,-1.0368486192,,
y19x38,-2.88524857644,-2.27487119573,-0.831124834095,,
y19x53,-1.14387548257,2.84350163325,-0.336462361253,,
y22x44,-2.8986368116,2.03037861894,-1.10456362773,,
y19x56,0.451580562817,5.15468345265,0.472472132988,,
y22x62,-2.14619758495,2.12919641138,-1.51188202667,,
y19x59,0.962267257872,5.0044976924,1.04333774364,,
y25x62,2.0943468991,3.71271144876,2.17210293149,,
y22x65,1.45727531184,4.78899358885,1.43532068631,,
y10x41,-2.92872894487,2.22132648042,-1.38200859282,,
y13x65,0.0532057903518,2.79618323819,-0.197931045443,,
y10x65,2.03862476647,4.07310027569,1.39232744091,,
y10x44,-3.53187233771,1.42555855721,-1.05079120459,,
y13x62,1.39940218225,5.1440612661,0.885729930943,,
y16x62,-0.664497617131,-0.156837822801,0.813241359976,,
y10x47,-2.76400832635,1.06093663755,-0.825775174009,,
y25x56,-1.03145083927,1.51100286447,-0.629829849656,,
y25x53,-1.96513032731,1.99170902378,-0.787742691661,,
y28x41,-3.72136575238,2.53876421505,-0.597695044749,,
y25x50,-0.98006077586,1.4170499827,0.0123701575285,,
y22x41,-1.87880639843,1.05554856539,-0.800320847227,,
y28x47,-1.34383507548,3.95156815583,-0.0188726298865,,
y28x44,-2.58680015197,2.14104556514,-0.781844625558,,
y13x44,-1.87157096949,0.822264329424,-0.888298118649,,
y13x47,-1.40776341,-1.23945126407,0.149204028679,,
y16x41,-0.999590514106,1.44947706133,-0.498271520859,,
y13x41,-1.86007696742,-1.06184650994,0.0355290001611,,
y16x47,1.28302082441,1.63021108093,0.612813072968,,
y16x44,-1.22935200681,-0.736577372411,0.147907452988,,
y28x53,-1.71130163309,2.21020605009,-0.618009422239,,
y28x62,-0.931868244505,3.83261151255,0.102710137708,,
y16x65,-0.340874293336,4.84298690128,-0.2822819852,,
y16x38,-1.52512862187,0.608901120761,-0.334599273236,,
y28x65,-1.60025202793,3.45693893853,-0.539518886412,,
y19x65,-1.1832967049,1.57446790324,-0.0781685079414,,
y22x53,-0.967552161667,2.03225850919,-0.262173338762,,
y22x50,0.881571090378,0.845471077717,0.669568686539,,
y22x56,-1.24179995196,2.68243839555,-0.282891898411,,
y19x62,-0.134966644453,2.68484439283,0.244789640852,,
y19x47,-1.41023443621,2.74879700988,-0.511412294464,,
y10x62,-2.00645968915,3.04234165351,-1.81599273226,,
y19x44,-4.0536681334,1.65613815466,-1.30916635324,,
y19x41,-2.80011149006,0.570160571797,-0.592790402755,,
y22x38,-2.20541056173,0.943364261272,-1.01822931566,,
y10x38,-2.894944483,-0.961302147325,-0.626038443772,,
y25x65,-1.76372469861,4.50862182619,-0.482938455435,,
y13x38,-1.39950284364,-2.89558117544,0.327463719483,,
y25x38,-1.0076896863,2.94289720034,-0.203326444028,,
y10x59,-0.05406282593,3.08577336175,-0.311827738711,,
y25x47,-1.40307769967,3.24172946099,-0.370422251856,,
y10x56,-0.844223320166,2.02028189671,-0.651016485965,,
y22x59,-1.66142558641,2.58542372823,-0.504388026741,,
y10x53,-0.114580606784,2.52997472271,0.124259368458,,
y10x50,0.378532083401,-0.783636928258,0.316489109224,,
y16x59,-0.654631975067,1.1263894266,0.043221020823,,
y28x56,-1.51435412472,1.33016084982,-0.261169286829,,
y28x50,-0.0264993063621,1.66991519449,0.000617092016458,,
y13x59,-1.69831483974,1.92518393855,-1.26245284264,,
y13x56,-1.51165387814,-0.133167496578,-0.41193737393,,
y16x50,-2.76079203174,-0.847292138549,-0.930256230417,,
y16x53,-3.10773613581,0.0732688188337,-1.13269711433,,
y13x53,-1.87970017455,0.784420543695,-0.951949546426,,
y13x50,-0.849096399276,0.196821427526,0.0196516969861,,
y16x56,1.3667160846,1.23993186456,1.4173465024,,
Pose,x_diff[mm],y_diff[mm],z_diff[mm],,
y28x59,-3.33277652075,1.23334052834,-1.92346483042,,
y22x47,-1.2889154036,2.84913900462,-0.226945095047,,
y25x44,-2.72593025203,0.694987779445,-0.599608253611,,
y25x41,-3.12151459921,2.33552652139,-0.848763189343,,
y28x38,-2.9338606539,1.61853747109,-0.837549332221,,
y19x50,0.336399220083,1.86250328877,0.194481303627,,
y25x59,-2.3414349194,2.02406111969,-1.12903606351,,
y19x38,-2.90530714759,1.08722956891,-1.38570180742,,
y19x53,-0.725516943528,3.47804988223,-0.60511062443,,
y22x44,-1.96702219755,3.01904620912,-0.646400530501,,
y19x56,-2.11134744235,2.34378346774,-1.18791813662,,
y22x62,-1.312097301,5.27812318439,-0.440129023603,,
y19x59,-3.54548900798,3.64102095286,-2.18548445078,,
y25x62,-0.859668349668,2.3871919988,0.36617581727,,
y22x65,-0.113556404321,1.8156131994,0.173660690316,,
y10x41,-3.700983417,0.0729051921757,-1.1254923783,,
y13x65,-0.380217539377,3.13200007937,-0.217979302669,,
y10x65,2.18503237789,4.48279765182,1.71606846301,,
y10x44,-3.24866996568,1.25911624158,-1.23243416627,,
y13x62,1.04668637607,3.24085912528,0.739750686422,,
y16x62,0.756732589181,3.85568014949,0.918267047137,,
y10x47,-2.73753791612,1.08499771908,-0.866898045005,,
y25x56,-1.32867311884,1.57035364321,-0.225393455047,,
y25x53,-1.19184575386,1.49370216256,-0.616134569656,,
y28x41,-4.03994415407,1.59931604756,-0.71785858579,,
y25x50,-1.13688538235,2.6246938307,-0.0429650493981,,
y22x41,-2.81228749655,1.76480442802,-0.843188211196,,
y28x47,-2.11335498449,3.0084950753,-0.569340755154,,
y28x44,-3.67454682288,2.61018020331,-1.24770578626,,
y13x44,-0.866647089285,1.65484545216,-0.737228327159,,
y13x47,-0.612207908867,-0.208231763512,-0.11459392167,,
y16x41,-3.68415639029,0.803311471679,-1.06435890642,,
y13x41,-2.97168882831,-2.68255789631,0.289561032561,,
y16x47,-0.995149492636,0.499100178206,-0.0952336231342,,
y16x44,-2.92725595266,1.65745308146,-1.20258522739,,
y28x53,-1.07752815234,1.59773337949,-0.606506985661,,
y28x62,-1.17319328686,4.58401247147,-0.283357017526,,
y16x65,-0.227486942672,3.44111292502,-0.231278214721,,
y16x38,-2.85937449732,-0.618949038844,-0.703933691766,,
y28x65,0.496557948645,4.65700761692,1.21977566872,,
y19x65,-0.509900443047,3.73160874019,-0.502186579088,,
y22x53,-1.23584186222,1.14768206809,-0.537560244167,,
y22x50,-1.23532620792,1.3648784912,-0.343219365226,,
y22x56,1.59363794054,2.9624126542,0.991797377299,,
y19x62,1.36389543117,3.86812265884,1.25689737923,,
y19x47,-0.834472372805,0.57678915878,-0.45235518412,,
y10x62,-0.119626036007,2.72795354192,-0.380339013289,,
y19x44,-3.62389453372,0.848936462519,-1.32427119565,,
y19x41,-4.01445134294,0.698887168514,-1.22933103068,,
y22x38,-3.98545268959,-0.721186841562,-0.97824170058,,
y10x38,-1.17060113789,-1.432597614,-0.0564630978671,,
y25x65,0.16446749964,4.25595786956,1.0160196781,,
y13x38,-2.39715532809,-1.19160072897,-0.454061108819,,
y25x38,-0.768971196189,3.08275650184,-0.19598307905,,
y10x59,-0.239446560342,3.4039207838,-0.247157499096,,
y25x47,-3.03904247014,2.72271194299,-0.922656811038,,
y10x56,-0.78190397474,3.77122341706,-0.551234196511,,
y22x59,-0.770761699881,2.05524214376,0.393446234283,,
y10x53,0.679021995924,1.39160384948,0.261702316079,,
y10x50,1.37991692124,-1.39608274128,1.22428393039,,
y16x59,-2.88313588045,1.89787755558,-1.38478647912,,
y28x56,-1.59749162094,2.43382966122,-0.705908227758,,
y28x50,-0.59241814232,1.64364182278,-0.113160035432,,
y13x59,-1.74612182227,2.83183582838,-1.41389349189,,
y13x56,-1.22189879546,0.779660101078,-0.19569687027,,
y16x50,1.05765053639,0.859038870464,1.03563173594,,
y16x53,-2.57784736297,1.997661423,-1.04277674112,,
y13x53,-1.72091916515,1.13935652976,-0.985981696837,,
y13x50,-0.120029606656,0.625850665047,0.293666294189,,
y16x56,0.0266697578284,2.25517861248,-0.100255476535,,
